Accurracy After n Branches, Accurracy in %
1000, 72.9%
2000, 86.45%
3000, 90.6%
4000, 92.95%
5000, 94.16%
6000, 95.1167%
7000, 95.8143%
8000, 96.325%
9000, 96.7222%
10000, 97.05%
11000, 97.3091%
12000, 97.5333%
13000, 97.7154%
14000, 97.8714%
15000, 98.0133%
16000, 98.1312%
17000, 98.2353%
18000, 98.3333%
19000, 98.4158%
20000, 98.495%
21000, 98.4%
22000, 98.4682%
23000, 98.5348%
24000, 98.5917%
25000, 98.644%
26000, 98.6962%
27000, 98.7407%
28000, 98.7857%
29000, 98.8241%
30000, 98.86%
31000, 98.8968%
32000, 98.9281%
33000, 98.9576%
34000, 98.9882%
35000, 99.0143%
36000, 99.0417%
37000, 99.0649%
38000, 99.0868%
39000, 99.1103%
40000, 99.0475%
41000, 99.0683%
42000, 99.0905%
43000, 99.1093%
44000, 99.1273%
45000, 99.1467%
46000, 99.163%
47000, 99.1809%
48000, 99.1958%
49000, 99.2102%
50000, 99.226%
51000, 99.2392%
52000, 99.2519%
53000, 99.266%
54000, 99.2778%
55000, 99.2909%
56000, 99.3018%
57000, 99.3123%
58000, 99.3241%
59000, 99.3017%
60000, 99.3117%
61000, 99.323%
62000, 99.3323%
63000, 99.3429%
64000, 99.3516%
65000, 99.36%
66000, 99.3697%
67000, 99.3776%
68000, 99.3853%
69000, 99.3942%
70000, 99.4014%
71000, 99.4099%
72000, 99.4167%
73000, 99.4233%
74000, 99.4311%
75000, 99.4373%
76000, 99.4434%
77000, 99.4506%
78000, 99.4308%
79000, 99.438%
80000, 99.4437%
81000, 99.4494%
82000, 99.4561%
83000, 99.4614%
84000, 99.4667%
85000, 99.4729%
86000, 99.4779%
87000, 99.4839%
88000, 99.4886%
89000, 99.4933%
90000, 99.4989%
91000, 99.5033%
92000, 99.5076%
93000, 99.5129%
94000, 99.517%
95000, 99.5221%
96000, 99.526%
97000, 99.5113%
98000, 99.5163%
99000, 99.5202%
100000, 99.524%
101000, 99.5287%
102000, 99.5324%
103000, 99.5369%
104000, 99.5404%
105000, 99.5438%
106000, 99.5481%
107000, 99.5514%
108000, 99.5546%
109000, 99.5587%
110000, 99.5618%
111000, 99.5649%
112000, 99.5687%
113000, 99.5717%
114000, 99.5754%
115000, 99.5783%
116000, 99.5724%
117000, 99.5692%
118000, 99.572%
119000, 99.5748%
120000, 99.5783%
121000, 99.581%
122000, 99.5844%
123000, 99.587%
124000, 99.5895%
125000, 99.5928%
126000, 99.5952%
127000, 99.5976%
128000, 99.6008%
129000, 99.6031%
130000, 99.6062%
131000, 99.6084%
132000, 99.6106%
133000, 99.6135%
134000, 99.6157%
135000, 99.6178%
136000, 99.6176%
137000, 99.6197%
138000, 99.6225%
139000, 99.6245%
140000, 99.6264%
141000, 99.6291%
142000, 99.631%
143000, 99.6329%
144000, 99.6354%
145000, 99.6372%
146000, 99.6397%
147000, 99.6415%
148000, 99.6432%
149000, 99.6456%
150000, 99.6473%
151000, 99.649%
152000, 99.6513%
153000, 99.6529%
154000, 99.6552%
155000, 99.6555%
156000, 99.6571%
157000, 99.6592%
158000, 99.6608%
159000, 99.6623%
160000, 99.6644%
161000, 99.6658%
162000, 99.6679%
163000, 99.6693%
164000, 99.6707%
165000, 99.6727%
166000, 99.6741%
167000, 99.6754%
168000, 99.6774%
169000, 99.6787%
170000, 99.68%
171000, 99.6819%
172000, 99.6831%
173000, 99.685%
174000, 99.6851%
175000, 99.6863%
176000, 99.6881%
177000, 99.6893%
178000, 99.6905%
179000, 99.6922%
180000, 99.6933%
181000, 99.695%
182000, 99.6962%
183000, 99.6973%
184000, 99.6989%
185000, 99.7%
186000, 99.7011%
187000, 99.7027%
188000, 99.7037%
189000, 99.7053%
190000, 99.7063%
191000, 99.7073%
192000, 99.7089%
193000, 99.7088%
194000, 99.7098%
195000, 99.7113%
196000, 99.7122%
197000, 99.7137%
198000, 99.7146%
199000, 99.7156%
200000, 99.717%
201000, 99.7179%
202000, 99.7188%
203000, 99.7202%
204000, 99.7211%
205000, 99.7224%
206000, 99.7233%
207000, 99.7242%
208000, 99.7255%
209000, 99.7263%
210000, 99.7271%
211000, 99.7284%
212000, 99.7283%
213000, 99.7296%
214000, 99.7304%
215000, 99.7312%
216000, 99.7324%
217000, 99.7332%
218000, 99.7339%
219000, 99.7352%
220000, 99.7359%
221000, 99.7371%
222000, 99.7378%
223000, 99.7386%
224000, 99.7397%
225000, 99.7404%
226000, 99.7411%
227000, 99.7423%
228000, 99.743%
229000, 99.7437%
230000, 99.7448%
231000, 99.7455%
232000, 99.7457%
233000, 99.7464%
234000, 99.747%
235000, 99.7481%
236000, 99.7487%
237000, 99.7494%
238000, 99.7504%
239000, 99.7146%
240000, 99.6488%
241000, 99.5855%
242000, 99.4967%
243000, 99.3222%
244000, 99.1955%
245000, 99.0886%
246000, 99.0463%
247000, 98.9798%
248000, 98.9544%
249000, 98.8795%
250000, 98.8568%
251000, 98.8478%
252000, 98.8437%
253000, 98.8443%
254000, 98.8406%
255000, 98.8369%
256000, 98.8332%
257000, 98.8335%
258000, 98.8349%
259000, 98.7015%
260000, 98.6112%
261000, 98.554%
262000, 98.4962%
263000, 98.4639%
264000, 98.3974%
265000, 98.3792%
266000, 98.3158%
267000, 98.2891%
268000, 98.2231%
269000, 98.1844%
270000, 98.1348%
271000, 98.0576%
272000, 98.0081%
273000, 97.9385%
274000, 97.8858%
275000, 97.8316%
276000, 97.8004%
277000, 97.7534%
278000, 97.714%
279000, 97.6717%
280000, 97.6071%
281000, 97.5612%
282000, 97.5046%
283000, 97.4739%
284000, 97.4331%
285000, 97.4109%
286000, 97.3671%
287000, 97.2913%
288000, 97.243%
289000, 97.1754%
290000, 97.1159%
291000, 97.0625%
292000, 97.0329%
293000, 97.0324%
294000, 97.0378%
295000, 97.0434%
296000, 97.0507%
297000, 97.0569%
298000, 97.0641%
299000, 97.0699%
300000, 97.077%
301000, 97.0834%
302000, 97.0904%
303000, 97.0871%
304000, 97.0408%
305000, 97.0207%
306000, 96.9768%
307000, 96.9515%
308000, 96.9269%
309000, 96.8916%
310000, 96.8755%
311000, 96.837%
312000, 96.8324%
313000, 96.7946%
314000, 96.7882%
315000, 96.7356%
316000, 96.6905%
317000, 96.6625%
318000, 96.6236%
319000, 96.6163%
320000, 96.5612%
321000, 96.553%
322000, 96.5081%
323000, 96.4743%
324000, 96.4435%
325000, 96.3938%
326000, 96.3706%
327000, 96.3232%
328000, 96.2896%
329000, 96.259%
330000, 96.223%
331000, 96.1949%
332000, 96.1542%
333000, 96.1294%
334000, 96.0817%
335000, 96.0445%
336000, 96.0125%
337000, 95.9813%
338000, 95.9828%
339000, 95.9914%
340000, 96%
341000, 96.0085%
342000, 96.017%
343000, 96.0262%
344000, 96.0352%
345000, 96.0438%
346000, 96.052%
347000, 96.0611%
348000, 96.0698%
349000, 96.0415%
350000, 96.0211%
351000, 96.0017%
352000, 95.9645%
353000, 95.9462%
354000, 95.9102%
355000, 95.8932%
356000, 95.8646%
357000, 95.8398%
358000, 95.8154%
359000, 95.7788%
360000, 95.7686%
361000, 95.7393%
362000, 95.7285%
363000, 95.711%
364000, 95.6849%
365000, 95.6767%
366000, 95.6383%
367000, 95.6335%
368000, 95.5932%
369000, 95.5851%
370000, 95.5565%
371000, 95.5423%
372000, 95.5231%
373000, 95.4928%
374000, 95.4866%
375000, 95.4483%
376000, 95.4359%
377000, 95.4061%
378000, 95.3818%
379000, 95.3678%
380000, 95.3332%
381000, 95.327%
382000, 95.2887%
383000, 95.293%
384000, 95.301%
385000, 95.3104%
386000, 95.3202%
387000, 95.3297%
388000, 95.3394%
389000, 95.3488%
390000, 95.3585%
391000, 95.3678%
392000, 95.3773%
393000, 95.3865%
394000, 95.3754%
395000, 95.3489%
396000, 95.3475%
397000, 95.3237%
398000, 95.3191%
399000, 95.2887%
400000, 95.2647%
401000, 95.2449%
402000, 95.2134%
403000, 95.206%
404000, 95.1785%
405000, 95.1657%
406000, 95.1473%
407000, 95.1327%
408000, 95.125%
409000, 95.099%
410000, 95.098%
411000, 95.0674%
412000, 95.0626%
413000, 95.0346%
414000, 95.0198%
415000, 95.0019%
416000, 94.9776%
417000, 94.9703%
418000, 94.9478%
419000, 94.9391%
420000, 94.9126%
421000, 94.8931%
422000, 94.8796%
423000, 94.8501%
424000, 94.8406%
425000, 94.8136%
426000, 94.7953%
427000, 94.7735%
428000, 94.7622%
429000, 94.7709%
430000, 94.7791%
431000, 94.7882%
432000, 94.7984%
433000, 94.8085%
434000, 94.8182%
435000, 94.8274%
436000, 94.8374%
437000, 94.8474%
438000, 94.8568%
439000, 94.8629%
440000, 94.842%
441000, 94.8388%
442000, 94.812%
443000, 94.7964%
444000, 94.7827%
445000, 94.7521%
446000, 94.7453%
447000, 94.721%
448000, 94.7087%
449000, 94.6978%
450000, 94.6718%
451000, 94.6712%
452000, 94.6453%
453000, 94.6364%
454000, 94.62%
455000, 94.6062%
456000, 94.5996%
457000, 94.5731%
458000, 94.5716%
459000, 94.5486%
460000, 94.5426%
461000, 94.5288%
462000, 94.5158%
463000, 94.5093%
464000, 94.486%
465000, 94.4809%
466000, 94.4592%
467000, 94.4516%
468000, 94.4357%
469000, 94.4211%
470000, 94.4166%
471000, 94.393%
472000, 94.39%
473000, 94.3767%
474000, 94.3738%
475000, 94.3834%
476000, 94.3931%
477000, 94.4027%
478000, 94.4119%
479000, 94.4219%
480000, 94.4319%
481000, 94.4414%
482000, 94.4504%
483000, 94.4603%
484000, 94.47%
485000, 94.4664%
486000, 94.4438%
487000, 94.4448%
488000, 94.4221%
489000, 94.4125%
490000, 94.3976%
491000, 94.3819%
492000, 94.375%
493000, 94.3533%
494000, 94.3532%
495000, 94.3366%
496000, 94.325%
497000, 94.3129%
498000, 94.2992%
499000, 94.295%
500000, 94.2778%
501000, 94.2808%
502000, 94.2635%
503000, 94.2628%
504000, 94.2512%
505000, 94.2455%
506000, 94.2377%
507000, 94.2243%
508000, 94.2189%
509000, 94.1978%
510000, 94.1994%
511000, 94.1738%
512000, 94.1604%
513000, 94.1497%
514000, 94.127%
515000, 94.1212%
516000, 94.1072%
517000, 94.1052%
518000, 94.0932%
519000, 94.0908%
520000, 94.0996%
521000, 94.1073%
522000, 94.1171%
523000, 94.1266%
524000, 94.1357%
525000, 94.1448%
526000, 94.1544%
527000, 94.1638%
528000, 94.1727%
529000, 94.1817%
530000, 94.1849%
531000, 94.1642%
532000, 94.1639%
533000, 94.1482%
534000, 94.1412%
535000, 94.1297%
536000, 94.117%
537000, 94.113%
538000, 94.0885%
539000, 94.0885%
540000, 94.073%
541000, 94.0691%
542000, 94.0568%
543000, 94.0444%
544000, 94.0392%
545000, 94.0217%
546000, 94.0249%
547000, 94.007%
548000, 94.0036%
549000, 93.9931%
550000, 93.9833%
551000, 93.978%
552000, 93.9612%
553000, 93.964%
554000, 93.9482%
555000, 93.9459%
556000, 93.9297%
557000, 93.916%
558000, 93.914%
559000, 93.8939%
560000, 93.8918%
561000, 93.88%
562000, 93.8735%
563000, 93.8693%
564000, 93.8676%
565000, 93.8749%
566000, 93.8829%
567000, 93.8915%
568000, 93.9009%
569000, 93.9102%
570000, 93.919%
571000, 93.9275%
572000, 93.9367%
573000, 93.9459%
574000, 93.9547%
575000, 93.9626%
576000, 93.9474%
577000, 93.9463%
578000, 93.9365%
579000, 93.9356%
580000, 93.9248%
581000, 93.9086%
582000, 93.906%
583000, 93.8882%
584000, 93.8736%
585000, 93.8646%
586000, 93.8497%
587000, 93.8458%
588000, 93.8293%
589000, 93.8268%
590000, 93.8181%
591000, 93.8093%
592000, 93.8061%
593000, 93.7872%
594000, 93.7914%
595000, 93.7768%
596000, 93.7787%
597000, 93.7645%
598000, 93.763%
599000, 93.7531%
600000, 93.745%
601000, 93.7418%
602000, 93.7269%
603000, 93.7317%
604000, 93.7149%
605000, 93.7076%
606000, 93.6969%
607000, 93.688%
608000, 93.6842%
609000, 93.6791%
610000, 93.6854%
611000, 93.6941%
612000, 93.7028%
613000, 93.7114%
614000, 93.7199%
615000, 93.7288%
616000, 93.7375%
617000, 93.746%
618000, 93.7544%
619000, 93.7632%
620000, 93.7718%
621000, 93.7565%
622000, 93.7527%
623000, 93.7451%
624000, 93.7324%
625000, 93.7298%
626000, 93.7137%
627000, 93.712%
628000, 93.6989%
629000, 93.689%
630000, 93.6876%
631000, 93.6857%
632000, 93.687%
633000, 93.6728%
634000, 93.6675%
635000, 93.662%
636000, 93.6502%
637000, 93.6463%
638000, 93.6306%
639000, 93.6286%
640000, 93.6181%
641000, 93.614%
642000, 93.6051%
643000, 93.5897%
644000, 93.5888%
645000, 93.5757%
646000, 93.5776%
647000, 93.5682%
648000, 93.5656%
649000, 93.5575%
650000, 93.5471%
651000, 93.5436%
652000, 93.5294%
653000, 93.5325%
654000, 93.5232%
655000, 93.5301%
656000, 93.538%
657000, 93.5409%
658000, 93.5307%
659000, 93.5234%
660000, 93.5117%
661000, 93.5092%
662000, 93.4971%
663000, 93.4991%
664000, 93.4899%
665000, 93.4947%
666000, 93.5014%
667000, 93.5045%
668000, 93.5014%
669000, 93.5025%
670000, 93.5073%
671000, 93.4985%
672000, 93.4981%
673000, 93.4893%
674000, 93.4926%
675000, 93.4818%
676000, 93.4836%
677000, 93.4756%
678000, 93.4748%
679000, 93.4744%
680000, 93.4687%
681000, 93.4709%
682000, 93.4614%
683000, 93.4644%
684000, 93.4608%
685000, 93.4358%
686000, 93.4076%
687000, 93.3694%
688000, 93.3403%
689000, 93.3132%
690000, 93.2883%
691000, 93.2784%
692000, 93.2455%
693000, 93.2072%
694000, 93.1823%
695000, 93.1699%
696000, 93.1468%
697000, 93.132%
698000, 93.0984%
699000, 93.0783%
700000, 93.0604%
701000, 93.0432%
702000, 93.0191%
703000, 93.0188%
704000, 93.0141%
705000, 93.0116%
706000, 93.0061%
707000, 92.9934%
708000, 92.9862%
709000, 92.98%
710000, 92.9837%
711000, 92.98%
712000, 92.9764%
713000, 92.9734%
714000, 92.9675%
715000, 92.9642%
716000, 92.9589%
717000, 92.9611%
718000, 92.9664%
719000, 92.9629%
720000, 92.9579%
721000, 92.9555%
722000, 92.9521%
723000, 92.9476%
724000, 92.9452%
725000, 92.9492%
726000, 92.9496%
727000, 92.9458%
728000, 92.9427%
729000, 92.9388%
730000, 92.9334%
731000, 92.9279%
732000, 92.9249%
733000, 92.933%
734000, 92.9309%
735000, 92.9307%
736000, 92.9292%
737000, 92.9288%
738000, 92.9249%
739000, 92.9223%
740000, 92.9259%
741000, 92.9286%
742000, 92.9261%
743000, 92.924%
744000, 92.9233%
745000, 92.9223%
746000, 92.9192%
747000, 92.9182%
748000, 92.9254%
749000, 92.9224%
750000, 92.9204%
751000, 92.9178%
752000, 92.919%
753000, 92.9169%
754000, 92.9151%
755000, 92.92%
756000, 92.9216%
757000, 92.9174%
758000, 92.9153%
759000, 92.9124%
760000, 92.9103%
761000, 92.91%
762000, 92.9113%
763000, 92.916%
764000, 92.9051%
765000, 92.9044%
766000, 92.9034%
767000, 92.9031%
768000, 92.8895%
769000, 92.8772%
770000, 92.8752%
771000, 92.8738%
772000, 92.8731%
773000, 92.8704%
774000, 92.869%
775000, 92.869%
776000, 92.8673%
777000, 92.8661%
778000, 92.8649%
779000, 92.8642%
780000, 92.8636%
781000, 92.8595%
782000, 92.8676%
783000, 92.8676%
784000, 92.862%
785000, 92.8438%
786000, 92.8162%
787000, 92.8118%
788000, 92.817%
789000, 92.8247%
790000, 92.8325%
791000, 92.8403%
792000, 92.8482%
793000, 92.856%
794000, 92.8637%
795000, 92.8714%
796000, 92.8793%
797000, 92.8869%
798000, 92.8837%
799000, 92.8723%
800000, 92.864%
801000, 92.8526%
802000, 92.8423%
803000, 92.8315%
804000, 92.8177%
805000, 92.8116%
806000, 92.8027%
807000, 92.7911%
808000, 92.7808%
809000, 92.771%
810000, 92.7585%
811000, 92.7433%
812000, 92.7337%
813000, 92.7219%
814000, 92.7088%
815000, 92.6988%
816000, 92.6892%
817000, 92.6798%
818000, 92.6784%
819000, 92.6825%
820000, 92.6874%
821000, 92.692%
822000, 92.6905%
823000, 92.6883%
824000, 92.6941%
825000, 92.6933%
826000, 92.6912%
827000, 92.6959%
828000, 92.69%
829000, 92.6865%
830000, 92.6913%
831000, 92.6983%
832000, 92.706%
833000, 92.7134%
834000, 92.7213%
835000, 92.7286%
836000, 92.7364%
837000, 92.7437%
838000, 92.7515%
839000, 92.7588%
840000, 92.7664%
841000, 92.7589%
842000, 92.7498%
843000, 92.7402%
844000, 92.7314%
845000, 92.7232%
846000, 92.7139%
847000, 92.7022%
848000, 92.6934%
849000, 92.6857%
850000, 92.6762%
851000, 92.6653%
852000, 92.6553%
853000, 92.6444%
854000, 92.6334%
855000, 92.6253%
856000, 92.6161%
857000, 92.6068%
858000, 92.5978%
859000, 92.5865%
860000, 92.5758%
861000, 92.5797%
862000, 92.5842%
863000, 92.589%
864000, 92.5956%
865000, 92.5945%
866000, 92.5994%
867000, 92.5974%
868000, 92.5938%
869000, 92.5895%
870000, 92.5861%
871000, 92.5836%
872000, 92.5818%
873000, 92.5874%
874000, 92.5947%
875000, 92.6021%
876000, 92.6094%
877000, 92.6165%
878000, 92.624%
879000, 92.6314%
880000, 92.6386%
881000, 92.6457%
882000, 92.6532%
883000, 92.6605%
884000, 92.6533%
885000, 92.6428%
886000, 92.6342%
887000, 92.6259%
888000, 92.6171%
889000, 92.6074%
890000, 92.5976%
891000, 92.588%
892000, 92.5775%
893000, 92.5689%
894000, 92.56%
895000, 92.5488%
896000, 92.5415%
897000, 92.5334%
